# PORT_M2_SHEETS_SPEC.md §4 [P-M2a] 30-sheet pilot (spec_sha16=44c223198086ac6b)
# params_hash=6d0cd928cd3f06ba5610256aa1362694d2bf621ae524495ba1e8e890eee290e8
cid	asset	era	phase	family	s6_n_events_90s	s6_n_raw_shown	s6_raw_cover_sec	s6_n_episodes	s4_n_in_band	s12_n_joined	s12_n_refused	s3_n_pivots
SI-20210920-012788-L	SI	E1	TOKYO	G1	224	82	38.499622	14	211	13	0	35
SI-20220322-037333-L	SI	E2	LONDON	G1_FINE	820	74	13.833470	14	214	13	0	39
SI-20220920-046967-S	SI	E3	NY	G1_FAST_OPEN	777	82	12.588005	14	229	13	0	53
SI-20230403-005357-L	SI	E4	TOKYO	G2_REJECT	170	82	48.750307	14	219	13	0	14
SI-20230927-029926-S	SI	E5	LONDON	G2_RECLAIM	529	82	10.589633	14	203	13	0	30
SI-20240326-052625-L	SI	E6	NY	NEWS_WINDOW	2271	82	4.482898	14	223	13	0	80
SI-20241031-020087-L	SI	E7	TOKYO	MICRO_OPEN	138	74	53.390156	14	256	13	0	22
SI-20250611-040278-S	SI	E8	LONDON	POST_SHOCK	3076	82	2.202447	14	238	13	0	67
SI-20210928-057341-L	SI	E1	NY	G1	4421	90	4.790188	9	215	13	0	126
SI-20220317-014448-L	SI	E2	TOKYO	G1_FINE	443	82	20.235076	14	236	13	0	38
HG-20211004-013171-S	HG	E1	TOKYO	G1	301	82	46.028342	14	162	11	0	12
HG-20220328-034435-L	HG	E2	LONDON	G1_FINE	321	82	33.705255	14	202	11	0	39
HG-20221006-046914-L	HG	E3	NY	G1_FAST_OPEN	449	82	15.337088	14	188	11	0	89
HG-20230411-010963-S	HG	E4	TOKYO	G2_REJECT	1626	82	11.655290	14	200	11	0	6
HG-20231018-036968-L	HG	E5	LONDON	G2_RECLAIM	700	82	14.331107	14	195	11	0	71
HG-20240325-057659-L	HG	E6	NY	NEWS_WINDOW	983	82	7.221668	14	173	11	0	148
HG-20241008-019960-L	HG	E7	TOKYO	MICRO_OPEN	657	82	11.661220	14	168	11	0	72
HG-20250411-036369-L	HG	E8	LONDON	POST_SHOCK	1194	82	7.933427	14	196	11	0	73
HG-20210924-052107-S	HG	E1	NY	G1	872	82	9.915546	14	171	11	0	85
HG-20220401-029521-S	HG	E2	TOKYO	G1_FINE	316	82	28.072050	14	189	11	0	34
NKD-20211001-023032-S	NKD	E1	TOKYO	G1	91	82	79.751038	14	126	9	1	164
NKD-20220323-043404-L	NKD	E2	LONDON	G1_FINE	225	82	20.142253	14	206	9	1	53
NKD-20220929-046862-L	NKD	E3	NY	G1_FAST_OPEN	851	82	16.966093	14	208	9	1	171
NKD-20230428-021744-S	NKD	E4	TOKYO	G2_REJECT	462	82	19.866172	14	191	10	0	48
NKD-20231002-043855-L	NKD	E5	LONDON	G2_RECLAIM	259	82	28.529100	14	185	10	0	156
NKD-20240410-052668-L	NKD	E6	NY	NEWS_WINDOW	3769	82	2.911099	12	175	10	0	70
NKD-20240920-019860-L	NKD	E7	TOKYO	MICRO_OPEN	662	82	7.192371	14	237	10	0	46
NKD-20250409-036346-S	NKD	E8	LONDON	POST_SHOCK	1631	82	6.747714	13	241	10	0	257
NKD-20211019-059971-S	NKD	E1	NY	FIRST_TEST	342	82	25.324351	14	193	9	1	81
NKD-20220309-006843-S	NKD	E2	TOKYO	G1	354	82	22.092944	14	202	9	1	37
