item	area	verdict	severity	evidence	blast_radius	fix
P1_SEAT_IMPLEMENTABILITY	replay	LEAK	CRITICAL	newobj.py:361 top_per_cell_score = cell eventual argmax; entry_sec==dec_sec exactly (max|diff|=0, 1399369 rows); argmax is the first arrival in only 5.9-14.4% of cells; mean 5-6h of future tape needed; every causal rule (threshold/secretary/stopping), calibrated WITH hindsight, reads -$248..+$209 vs deployed $685-$1644	every seated-replay dollar in the campaign: CAPTURE_CONFIGURATION, STACKED_FINAL_*, CHAMPION_FLOOR*, CURRICULUM_*, CONFIDENCE_*, RANKING_ATLAS_*, EXIT_CENSUS*, E8 blind reads, all capture ratios, the member-ranking deficit	replace top_per_cell_score/topn_takes with an arrival-time rule everywhere; move the training objective off within-cell ranking onto per-arrival take/skip expectancy; re-measure before any further arm comparison
P2_ZIGZAG_CONFIRMATION	generator	CLEAN	-	c_c_roster.py:113-123 emits the RETRACEMENT second as conf_sec; all call sites lag off conf_sec (c_c_roster.py:224, b10_generation_v3.py:244-248); conf_to_dec_sec positive throughout	none	none
P2_ATR14_WINDOW	generator	CLEAN	-	s3_sessions.py:426-437; wilder recursion over TR[0..d-1]; every consumer reads ATR14_prev_usd=atr[i-1]; verified ATR14_prev_usd[d]==ATR14_usd[d-1] on 1403/1403 SI rows	none (fidelity note: 179/1418 stale-book TR=0 rows bias ATR low)	optional: drop TR=0 rows from the wilder chain as b2_fvol already does
P2_LEVEL_ANCHORS	generator	CLEAN	-	fvol ladder anchored on hist[prev] close_px (b3_levels.py:233-243); VWAP cumsum-to-t (b3_levels.py:499-513); OR active_from=t1 with strict downstream gates (m3_matrix.py:645); virgin flags as-of (m3_matrix.py:633-642)	none	guard the unconsumed end-of-session `virgin` array at b3_levels.py:694-728
P2_DOMINANCE_SELECTION	assembly	LEAK	MODERATE	s3_sessions.py:216-225 picks the session's instrument by argmax of THAT SESSION's own total upd_count; the whole price skeleton and every candidate/feature/label is built on it (s3_sessions.py:323); prev_session_dominant already exists at :360	sessions where instrument_change=True (roll days) across all eras	select on the previous session's dominance or a first-N-minutes as-of rule; re-derive and report the delta on instrument_change sessions
P2_PHASE_BOUNDARY_TABLES	assembly	LEAK	MODERATE	s3_sessions.py:348-354,380-391,457-458 fits phase boundaries per CALENDAR YEAR over that entire year's activity profile; phases_*.json covers 2021-2025; the 2025 fit includes the 158 pre-exam holdout sessions; boundaries move up to 2h between years	phase_tag selects the ZigZag rung threshold (which confirmations exist), phase_conf/phase_dec, next_phase_boundary -> cert_close_usd -> y_winner/y_retg, PHASE_HL/VWAP/OR_EXT scopes, and the champion target y_retg_rank_phase; reaches the sealed holdout	fit boundaries on strictly prior tape (previous calendar year or an expanding window ending d-1); decontaminates the holdout
P2_SPREAD_FLOOR_ZIGZAG	generator	AMBIGUOUS	INERT	c_c_roster.py:196-201 floors the rung threshold on a year-pooled median spread including the decision day and after (c_a_cost.py:236-257) - the same defect already fixed for the spread_ratio FEATURE; measured to bind in 0/4209 SI, 0/4611 HG, 0/4617 NKD session-phase cells	none currently	switch the floor basis to the strictly prior calendar year as pattern_lib.py:1010-1019 already does
P3_DOM_SHARE_FEATURE	features	LEAK	LOW	dom_share = s.dominant_share = the dominant instrument's share of the WHOLE session's update counts (m3_matrix.py:695); confirmed constant within every session by the 202-column constancy scan	limited by the ablation receipt (sits in the 153 near-dead columns for ordering)	remove, or replace with its as-of running value
P4_SESSION_CONSTANCY_SCAN	detector	CLEAN	-	202 columns x 3341 multi-candidate sessions; 15 constant-within-session, 14 of them legitimate session-start knowables; only dom_share is an end-of-session aggregate	n/a	n/a
P4_FEATURE_SHIFT_LABEL_SHUFFLE	detector	DEFERRED	-	both detectors read out through seated $/session, which on the current policy is generated by a retrospective argmax over ~134 candidates whose score LEVEL is at chance (global AUC 0.497) - a green light would be uninterpretable	n/a	re-run against the causal policy once it exists
P5A_ENTRY_SLIPPAGE	fill realism	CLEAN	LOW	5831 seats, 1939 sessions, 0 errors; spread at decision $33.36 vs phase-matched control $31.06 vs session median $28.37; excess round trip $9.23/trade	-$27.76/session/asset (-1.7% of E7 committed); BURST bucket -$21.59/trade, NKD burst -$34.10	charge the prevailing half-spread at entry and exit rather than the session median, or add a burst-conditional cost term
P5A_LATENCY_DEPTH	fill realism	CLEAN	-	touch had <1 lot in 0.0000 of 5831 entries; quote drift over 0-300ms is FAVOURABLE by $0.43 mean (more favourable in bursts, -$0.62); mean spread at decision 1.60 ticks	none	none
P5B_WALL_GAP_THROUGH	fill realism	LEAK	LOW	m2_delay._close_cert books exactly -$900-cost when the ONE-SECOND mid adverse skeleton reaches $900; 17.4% of wall exits are already >1 tick past the level when first observed, 8.9% >2 ticks, max $725 unpriced on a single trade; mean gap $20.30	-$5.78/session/asset (-$20.30 per walled trade x 9.47% wall rate)	price the observed adverse at the crossing rather than the level; sub-second resolution unmeasured (tape cache does not cover wall seconds)
P3_DAY_SO_FAR_FAMILY	features	CLEAN	-	as-of recompute diff over all 1399374 rows: cell_age_sec/ep_rank/ep_is_earliest EXACT (0 mismatches); cell_rank_so_far, sess_rank_so_far, cell_is_open_row differ by at most 1 on 0.0004-0.09% of rows, all same-second ties	none	optional: pin the same-second tie convention
P3_LABEL_CONTAINMENT	features	CLEAN	-	outcome arrays dereferenced only in build_targets (m3_matrix.py:1077-1106) and the sidecar (:1511); no OUTCOMES key on any feature path; max |spearman| feature-vs-outcome = 0.326 (runway_sess_sec vs mfe_unwalled, mechanically legitimate)	none	harden check_forbidden_names to match the upstream receipt field, not the hand-typed Feat.sources alias
P3_CROSS_ASSET_XA	features	AMBIGUOUS	LOW	values clean (0 rows read ts>row ts, 0 rows read own cell, R76 step-back fires, 3-day freshness cap); but "closed cell" at m3_matrix.py:956 means the cell's last candidate over the WHOLE cell, so a still-running cell is skipped BECAUSE a candidate fires after ts	78333 legs (1.87%) select a co-temporal source cell; information-losing direction, never future-value-reading	define "closed" as of dec_sec so the column is reproducible by an observer at the decision second
P3_CONTEXT_ASOF_LAGS	features	CLEAN	-	availability.py:344-352 rule table enforced against the RELEASE ts (not the observation date) at :462-466 and re-asserted strictly at m2_common.py:940; COT 3.81-7.85d, FRED dailies 1.875d, H.10 3.84d, NIKKEI_VI/JGB/SHFE all lagged	none	two clock inconsistencies: port_m1/b2_fvol.py:390 bypasses availability.py entirely (SI/GVZ, still causal in real time); vintage_class declared at availability.py:395-418 and never enforced, so 2026 vintages are read for 2021 observations
P3_FORECASTER_ANCHOR_JOIN	features	LEAK	MODERATE	regime_forecast.py guard HELD upstream (expanding window, strict <, include_cutoff raises, 15/15 red-first tests, 0 holdout rows). The JOIN leaks: m3_matrix.py:86/853 hardcodes FC_ANCHOR_SEC by anchor NAME and discards the receipt's own anchor_sec, which moves with the phase table and US DST	44373 rows = 3.171% of the matrix / 4.005% of fc rows read a forecast whose true anchor is in the FUTURE of their own dec_sec, median 1876s, max 7200s; eras E2-E8; DST signature (Mar-Oct heavy); carries sofar_range/sofar_ret/gap/sofar_imbalance into fc_p_expansion, fc_range_hat_*, fc_share_*, fc_menu_hat	one line: use int(row["anchor_sec"]) instead of FC_ANCHOR_SEC[row["anchor"]]
P3_WHOLE_ERA_FROZEN_CONSTANTS	features	LEAK	LOW	b2_fvol._regime_cuts fits RV5/RV66 tercile cuts on the pooled FIT era 2021-2024 and applies them back across it; _select picks fvol-vs-benchmark on FIT-era MAE likewise; regime_forecast.py:1731-1763 model-family pick over all of 2021-2024 (undeclared)	regime_tercile, ladder_band and the fvol-derived range columns carry whole-era hindsight; target-free and coarse	fit cut points and source picks on strictly prior data, or declare them
CAUSAL_CEILING	re-anchor	INFORMATIVE	-	causal oracle (perfect per-arrival value, ZERO knowledge of later arrivals, first-above-V, fixed denominator): E3 $2348 / E4 $2133 / E5 $2021 / E6 $2675 / E7 $3360 at $761-1245/trade, vs retrospective oracle $2583-$4085	THE GOAL SURVIVES THE AUDIT: a strictly arrival-time policy clears the $2,000 floor in every era on the existing candidate stream, exit contract and costs; removing the lookahead costs the ceiling only 12-28%	the entire remaining problem is CALIBRATION - train an absolute per-arrival expectancy, not a within-cell ordering
