# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) pre-registered adoption rule (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=ed126c64eee71c41)
# params_hash=0bfcf7e30aa61b66f82fe08b1f33b845c9bebe172ff2e266362eaca9d5013750
# lift >= 1.5 AND marginal capture >= +3pp on some asset AND per-FIT-year lift sign-stable (>1 every year); P2 also must beat the unconditional split on pinball loss
asset	family	target	n_scored_fit	n_extremes_fit	capture_fit	null_fit	lift_fit	marginal_pp_fit	year_lift_stable	decision	per_year_lifts
HG	P1_BASE	PHASE_HL	5946	6126	0.638244	0.193407	3.300000	0.000000	1	REJECT	3.532 2.786 3.735 3.478
HG	P1_BASE	SESSION_HL	1982	2042	0.178607	0.059536	3.000000	0.000000	1	REJECT	2.962 2.921 2.625 3.727
HG	P1_BASE_RS	PHASE_HL	5946	6126	0.632190	0.188026	3.362254	0.000000	1	REJECT	3.559 2.948 3.759 3.432
HG	P1_BASE_RS	SESSION_HL	1982	2042	0.167003	0.057518	2.903509	0.000000	1	REJECT	2.769 2.784 2.923 3.200
HG	P1_SIDE_POPEN	PHASE_HL	5946	6126	0.644131	0.209889	3.068910	0.021058	1	REJECT	3.322 2.736 3.224 3.157
HG	P1_SIDE_SETTLE	SESSION_HL	1982	2042	0.182139	0.076186	2.390728	0.005877	1	REJECT	2.857 2.488 2.000 2.349
HG	P1_SIDE_SOPEN	SESSION_HL	1982	2042	0.170030	0.073158	2.324138	0.003918	1	REJECT	2.889 2.326 1.829 2.471
HG	P2_LOGIT	SESSION_HL	1506	2042	0.074369	0.031873	2.333333	0.000000	1	REJECT	2.429 2.800 1.895
HG	P2_OLS	SESSION_HL	1506	2042	0.080345	0.031208	2.574468	0.000000	1	REJECT	3.154 2.937 1.833
HG	P2_UNCOND	SESSION_HL	1506	2042	0.080345	0.030544	2.630435	0.000979	1	REJECT	2.429 3.615 2.105
HG	P3_OR30	REST_OF_WINDOW|LONDON	2042	2042	0.419197	0.047013	8.916667	0.027914	1	REJECT	4.848 9.087 23.125 12.579
HG	P3_OR30	REST_OF_WINDOW|NY	2042	2042	0.396670	0.157199	2.523364	0.022037	1	REJECT	2.238 2.740 2.846 2.326
